uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,white,black,hispanic,asian,american_indian_alaska_native,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,party,gfi,state_pop
228,5.10E+11,Simonsdale Elementary School,5103000,Portsmouth City Pblc Schs,11/20/2018,2018-2019,2018,3:45 PM,Tuesday,Portsmouth,Virginia,public,702,0,1,1,accidental,29,m,b,parent of student,0,unknown,432,217,24,6,0,0,handgun,unknown,36.82682,-76.36628,41,KG,5,351,Portsmouth City,51,51740,13,dem,38,8638218
229,1.81E+11,Dennis Intermediate School,1809510,Richmond Community Schools,12/13/2018,2018-2019,2018,8:00 AM,Thursday,Richmond,Indiana,public,647,0,0,0,unclear,14,m,unknown,student,1,suicide,454,48,64,2,0,1,handgun and a rifle,unknown,39.832,-84.9114,59.5,5,8,527,Wayne County,18,18177,32,rep,22,6842385
230,4.10E+11,Cascade Middle School,4102040,Bethel Sd 52,1/11/2019,2018-2019,2019,10:30 AM,Friday,Eugene,Oregon,public,336,0,0,0,targeted,30,m,unknown,father of student,1,police shooting,224,1,79,6,7,1,handgun,unknown,44.0788,-123.1667,16.6,6,8,248,Lane County,41,41039,12,dem,37,4325290
281,2.72E+11,North High School,2721240,Minneapolis Public School District,1/16/2019,2018-2019,2019,12:30 PM,Wednesday,Minneapolis,Minnesota,public,382,0,0,0,unclear,0,,unknown,unknown,,unknown,6,339,15,6,7,0,unknown,unknown,44.994017,-93.300234,49.28,9,12,276,Hennepin County,27,27053,11,dem,33,5739781
231,2.40E+11,Frederick Douglass High School,2400090,Baltimore City Public Schools,2/8/2019,2018-2019,2019,12:00 PM,Friday,Baltimore,Maryland,public,877,0,1,1,unclear,25,m,unknown,brother of student,0,unknown,8,864,2,0,3,0,Smith and Wesson .40 caliber gun,unknown,39.3148,-76.6549,62,9,12,,Baltimore City,24,24510,11,dem,43,6075314
232,3.50E+11,V. Sue Cleveland High School,3500010,Rio Rancho Public Schools,2/14/2019,2018-2019,2019,7:15 AM,Thursday,Rio Rancho,New Mexico,public,2404,0,0,0,targeted and indiscriminate,16,m,unknown,student,0,unknown,795,63,1284,35,97,0,.45 caliber handgun,unknown,35.312773,-106.641929,123.06,9,12,750,Sandoval County,35,35043,41,dem,21,2109093
234,10243001035,Robert E. Lee High School,102430,Montgomery County,2/26/2019,2018-2019,2019,11:00 AM,Tuesday,Montgomery,Alabama,public,1514,0,1,1,targeted,16,m,b,student,0,unknown,132,1253,90,20,2,0,.40-caliber handgun,stolen from neighbor,32.378702,-86.271649,82.5,9,12,941,Montgomery County,1,1101,12,rep,15,4949697
233,2.01E+11,Highlands Elementary School,2011640,Shawnee Mission Pub Sch,3/1/2019,2018-2019,2019,1:30 PM,Friday,Mission,Kansas,public,321,0,0,0,unclear,26,m,w,neighbor of school,0,unknown,270,5,20,2,0,0,handgun,unknown,39.0168,-94.6409,27.2,PK,6,48,Johnson County,20,20091,21,rep,8,2919179
235,10042000205,Blountsville Elementary School,100420,Blount County,3/22/2019,2018-2019,2019,12:30 PM,Friday,Blountsville,Alabama,public,632,0,1,1,accidental,72,m,w,substitute teacher,0,unknown,516,4,110,0,2,0,Taurus .380 pistol,legally purchased by shooter,34.0847,-86.586,37.39,KG,6,425,Blount County,1,1009,42,rep,15,4949697
236,51182000899,Prescott High School,511820,Prescott School District,4/1/2019,2018-2019,2019,9:14 AM,Monday,Prescott,Arkansas,public,457,0,1,1,targeted,14,,unknown,student,0,unknown,246,182,21,4,4,0,handgun,unknown,33.791237,-93.377376,42.07,7,12,310,Nevada County,5,5099,41,rep,25,3042017
237,1.20E+11,Saint Clair Evans Academy,1200480,Duval,4/3/2019,2018-2019,2019,11:00 AM,Wednesday,Jacksonville,Florida,public,380,0,0,0,unclear,0,,unknown,unknown,,unknown,5,367,3,0,0,0,unknown,unknown,30.371086,-81.695138,29,PK,5,336,Duval County,12,12031,11,rep,30,21944577
282,63384005261,New Joseph Bonnheim Community Charter School,633840,Sacramento City Unified,4/3/2019,2018-2019,2019,1:45 PM,Wednesday,Sacramento,California,public,370,0,0,0,unclear,0,,unknown,unknown,,unknown,38,38,194,17,2,0,unknown,unknown,38.5333,-121.4182,0,KG,6,253,Sacramento County,6,6067,11,dem,48,39613493
283,2.60E+11,Flex High School,2601117,Flex High School Of Michigan,4/17/2019,2018-2019,2019,10:00 AM,Wednesday,Flint,Michigan,public,120,0,0,0,targeted,16,,unknown,student,0,unknown,9,106,2,0,0,0,unknown,unknown,43.059497,-83.73516,3,9,12,117,Genesee County,26,26049,13,dem,20,9992427
